Original File Name,New File Name,Original Path,New Path,Project Name,Year
IMG_8082.PNG,2014_THTHB_#76759_BK_Library_image21of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/IMG_8082.PNG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image21of22.png,THTHB #76759 BK Library,2014
photo.JPG,2014_THTHB_#76759_BK_Library_image22of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/photo.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image22of22.png,THTHB #76759 BK Library,2014
03_HH_Cue2014.jpg,2014_THTHB_Cue_Art_Foundation_image01of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/03_HH_Cue2014.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/2014_THTHB_Cue_Art_Foundation_image01of07.png,THTHB Cue Art Foundation,2014
DSC_0327.jpg,2014_THTHB_Cue_Art_Foundation_image02of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/DSC_0327.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/2014_THTHB_Cue_Art_Foundation_image02of07.png,THTHB Cue Art Foundation,2014
DSC_0330.jpg,2014_THTHB_Cue_Art_Foundation_image03of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/DSC_0330.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/2014_THTHB_Cue_Art_Foundation_image03of07.png,THTHB Cue Art Foundation,2014
DSC_0333.jpg,2014_THTHB_Cue_Art_Foundation_image04of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/DSC_0333.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/2014_THTHB_Cue_Art_Foundation_image04of07.png,THTHB Cue Art Foundation,2014
DSC_0344.jpg,2014_THTHB_Cue_Art_Foundation_image05of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/DSC_0344.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/2014_THTHB_Cue_Art_Foundation_image05of07.png,THTHB Cue Art Foundation,2014
tsak-install02.jpg,2014_THTHB_Cue_Art_Foundation_image06of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/tsak-install02.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/2014_THTHB_Cue_Art_Foundation_image06of07.png,THTHB Cue Art Foundation,2014
tsak-install5.jpg,2014_THTHB_Cue_Art_Foundation_image07of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/tsak-install5.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB Cue Art Foundation/2014 THTHB Cue Art Foundation_gallery/2014_THTHB_Cue_Art_Foundation_image07of07.png,THTHB Cue Art Foundation,2014
IMG_3810.JPG,2015_HH_Hermans_House_Second_Edition_Book_image01of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2015 HH Hermans House Second Edition Book/2015 HH Hermans House Second Edition Book_gallery/IMG_3810.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2015 HH Hermans House Second Edition Book/2015 HH Hermans House Second Edition Book_gallery/2015_HH_Hermans_House_Second_Edition_Book_image01of03.png,HH Hermans House Second Edition Book,2015
